电影名称,类型,上映日期,评价数,评分,主演
精英部队2：大敌当前,"剧情,动作,犯罪,惊悚",2011-11-25,76667,8.7,"瓦格纳·马拉,安德烈·拉米罗,米尔黑·考塔兹,伊兰迪尔·桑托斯,玛利亚·瑞贝罗,塞乌·乔奇,埃米利奥·奥希欧罗,Pedro Van-Held,Sandro Rocha,阿德里亚诺·加里布,儒里奥·阿德里安,卡杜·法维罗,安德瑞·马托斯,泰娜·毛勒,霍德利高·堪德劳特"
宾虚,"剧情,动作,历史,战争,冒险",1959-11-18,32685,8.7,"查尔顿·赫斯顿,杰克·霍金斯,哈雅·哈拉里特,史蒂芬·博伊德,休·格里夫斯,玛莎·斯考特,凯茜·奥唐内,山姆·谢斐,芬利·柯里,安德鲁·莫瑞尔,George Relph,玛琳娜·伯蒂,威廉姆·S·哈特,陆建艺,特伦斯·朗登,弗兰克·思林"
正义联盟：闪点悖论,"动作,科幻,动画,奇幻,冒险",2013-07-30,27039,8.7,"贾斯汀·钱伯斯,C·托马斯·豪威尔,迈克尔·B·乔丹,凯文·麦克基德,迪·布拉雷·贝克尔,史蒂夫·布卢姆,凯文·康瑞,萨姆·戴利,达娜·德拉尼,丹尼·赫斯顿,内森·菲利安,瓦内萨·马歇尔,加利·艾尔维斯,朗·普尔曼"
兽兵卫忍风帖,"动画,动作,冒险,奇幻,惊悚",1993-06-05,15304,8.7,"山寺宏一,筱原惠美,青野武,阪脩,乡里大辅,永井一郎,大友龙三郎,高岛雅罗,森功至,屋良有作,若本规夫,关俊彦,胜生真沙子,野本礼三,菅原淳一,铃木胜美,森山周一郎,温迪·李,理查德·埃帕卡,Richard Cansino,迈克尔·福瑞斯特,布拉德利·拉威尔,道格·斯通,Joe Romersa,柯克·桑顿,凯文·西摩"
铁达尼号沉没记,"剧情,动作,历史,爱情,灾难",1996-11-17,5870,8.7,"彼得·盖勒,凯瑟琳·泽塔-琼斯,乔治·C·斯科特,爱娃·玛丽·森特,蒂姆·克里,罗杰·里斯,哈莉·简·科扎克,玛丽露·亨纳尔,麦克·道尔,马修·沃克,科琳·惠勒,戴尔·威尔逊,莫莉·帕克,卡万·史密斯,Shaina Tianne Unger,布伦特·斯泰特,Matt Hill,凯瑟琳·伊莎贝尔,巴里·佩珀,艾伦·坡尔,马尔科姆·斯图尔特,Sonsee Neu,埃里克·李塞德,凯文·麦克纳尔蒂,Lachlan Murdoch"
岁城璃心,"动作,动画,奇幻",2014-12-08,2377,8.7,
釜山行,"动作,惊悚,灾难",2016-05-13,1101292,8.6,"孔刘,郑有美,马东锡,金秀安,金义城,崔宇植,安昭熙,崔奎华,郑锡勇,芮秀贞,朴明申,张赫镇,禹都临,沈恩京,白仁权,南砚友,郑煐禥,李珠实,柳在勋,车清华,金在祿,金周宪,金旻錫,金永,Han Sung-soo,董允锡,郑西仁,金根英,金锦顺,延尚昊,朴素贞,金昌焕,柳成禄,金丹菲,张泰民"
蜘蛛侠：平行宇宙,"动作,科幻,动画,冒险",2018-12-21,573866,8.6,"沙梅克·摩尔,杰克·约翰逊,海莉·斯坦菲尔德,马赫沙拉·阿里,布莱恩·泰里·亨利,莉莉·汤姆林,劳伦·维勒斯,佐伊·克罗维兹,约翰·木兰尼,贵美子·格伦,尼古拉斯·凯奇,凯瑟琳·哈恩,列维·施瑞博尔,克里斯·派恩,娜塔丽·莫瑞丝,奥斯卡·伊萨克,格里塔·李,斯坦·李,乔玛·塔科内,华金·科西奥,蕾克·贝尔,梅勒妮·海恩斯,尼克·杰恩,穆尼卜·拉赫曼,卡洛斯·萨拉戈萨,黛西·罗斯·布莱内斯,里夫·霍顿,哈里森·奈特,莱克斯·朗,凯特琳·麦肯纳-威尔金森,斯科特·门维尔,克里斯托弗·米勒,德维卡·帕利赫,柯特妮·佩尔顿,克里斯蒂·法瑞斯,杰奎琳·皮诺尔,贾斯汀·沉卡罗,梅利莎·斯特姆,彭昱畅,张天爱,波兹·马龙,张琦"
东邪西毒,"剧情,动作,爱情,武侠,古装",1994-09-17,537755,8.6,"张国荣,林青霞,梁朝伟,张学友,张曼玉,刘嘉玲,梁家辉,杨采妮,邹兆龙,萧德虎,廖静妮,王祖贤,白丽,刘洵"
英雄本色,"剧情,动作,犯罪",2017-11-17,490600,8.6,"周润发,狄龙,张国荣,朱宝意,李子雄,田丰,吴宇森,曾江,成奎安,徐克,陈志辉,顾嘉辉,梁柏坚,冯雪瑞,杨瑞麟,杜伟和,林富伟,马汉元,格莱格·斯奈哥夫,张济平,廖静妮,麦伟章,石燕子,金兴贤,王侠,良鸣,张国梁,洪新南,曾醒光,黄炜溏"
疯狂的麦克斯4：狂暴之路,"动作,科幻,冒险",2015-05-14,485549,8.6,"汤姆·哈迪,查理兹·塞隆,尼古拉斯·霍尔特,休·基斯-拜恩,乔什·赫尔曼,内森·琼斯,佐伊·克罗维兹,罗茜·汉丁顿-惠特莉,丽莉·吉欧,阿比·丽,考特尼·伊顿,安格斯·桑普森,理查德·卡特,梅根·盖尔,肖恩·哈普,吉纳维芙·艾特肯,约翰·霍华德,约翰·霍华德,理查德·诺顿,黛布拉·迪兹,理查德·诺顿"
谍影重重,"动作,悬疑,惊悚",2002-11-21,392951,8.6,"马特·达蒙,弗朗卡·波滕特,克里斯·库珀,克里夫·欧文,朱丽娅·斯蒂尔斯,布莱恩·考克斯,阿德沃尔·阿吉纽依-艾格拜吉,加布里埃尔·曼,沃尔顿·戈金斯,约什·汉密尔顿,奥尔索·马利亚·奎利尼,维森特·富兰克林,迪米特里·格里特萨斯,安东尼·格林,丹尼尔·科比·埃尔斯基尼,吉米·让-刘易斯,卢多维克·布尔努瓦,戴维·鲍姆伯,埃里克·莫罗,休伯特·圣-麦卡里"
霍比特人3：五军之战,"动作,奇幻,冒险",2015-01-23,357616,8.6,"马丁·弗瑞曼,伊恩·麦克莱恩,理查德·阿米蒂奇,伊万杰琳·莉莉,李·佩斯,卢克·伊万斯,本尼迪克特·康伯巴奇,肯·斯托特,詹姆斯·内斯比特,比利·康诺利,凯特·布兰切特,伊安·霍姆,克里斯托弗·李,雨果·维文,奥兰多·布鲁姆,马努·贝内特,艾丹·特纳,迪恩·奥戈曼,格拉汉姆·麦克泰维什,斯蒂芬·弗雷,米卡埃尔·佩斯布兰特,彼得·杰克逊,伊利亚·伍德,布雷特·麦肯齐,弗兰·威尔士,托马辛·麦肯齐,西尔维斯特·迈可伊,亚当·布朗,约翰·贝尔,瑞安·盖奇,柯南·史蒂文斯,杰德·布罗菲,布耐恩·布莱塞得,马克·哈德洛,约翰·凯伦,彼得·汉布尔顿,斯蒂芬·亨特,威廉·基尔舍,佩吉·内斯比特,玛丽·内斯比特,约翰·图伊,基兰·沙阿,周志强,西蒙·伦顿,马克·米钦森,莎拉·皮尔斯,沙恩·朗吉,鲁比·阿什伯恩·瑟金斯"
电影名称,类型,上映日期,评价数,评分,主演
勇闯夺命岛,"动作,冒险",1996-06-07,237098,8.6,"肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯,约翰·斯宾塞,大卫·摩斯,威廉·弗西斯,迈克尔·比恩,瓦内萨·马赛尔,约翰·C·麦金雷,托尼·托德,博基姆·伍德拜因,格雷格·科林斯,布伦丹·凯利,史蒂夫·哈里斯,丹尼·努齐,克莱尔·弗兰妮,托德·路易斯,大卫·鲍,Dennis Chalker,Billy Devlin,因格·内哈斯,约翰·拉夫林,哈利·哈姆弗瑞斯,霍华德·普拉特,威利·加森,Thomas J. Hageboeck,德怀特·希克斯,安东尼·克拉克,雷蒙德·奥康纳,路奈尔·坎贝尔,山姆·惠普尔,汤姆·托尔斯,安东尼·吉德拉,吉姆·卡维泽,约翰·伊诺斯三世,布克·卡特里安,马修杰姆斯居尔布兰松,斯坦利·安德森,山德·贝克利,Richard Conti,雷蒙德·克鲁斯,里克·德拉辛,大卫·马歇尔·格兰特,菲利普·贝克·霍尔,迈克尔·罗斯,杰洛米诺·斯芬克斯,Ezra Stanley,凯文·韦斯曼,斯图亚特·维尔森"
暗战,"动作,剧情,犯罪",1999-09-23,226872,8.6,"刘德华,刘青云,蒙嘉慧,李子雄,许绍雄,林雪,黄卓玲,艾威,林伟健,洪伟良,罗靖庭,邱万城,张浚鸿,李子明,李寿祺,罗永昌,黄华和,苏恩磁,谭王鸿,黄锐生"
守望者,"动作,科幻,悬疑",2009-03-06,189555,8.6,"帕特里克·威尔森,卡拉·古奇诺,比利·克鲁德普,玛琳·阿克曼,杰弗里·迪恩·摩根,马修·古迪,杰基·厄尔·哈利,马特·弗里沃,史蒂芬·麦克哈蒂,劳拉·门内尔,詹姆斯·M.康纳,杰拉德·巴特勒,扎克·施奈德,丹·佩恩,迈克尔·艾克朗德,尼尔迈特,凯利·格泽尔,达伦·萨赫拉维,帕特里克·萨邦圭,阿加·达什,道恩·楚拜,亚历桑德罗·朱利安尼,杰伊·布拉泽奥,克林特·卡尔顿,斯蒂芬妮·贝尔丁,丹尼·伍德伯恩,富尔·切切里,凯文·麦克纳尔蒂,迈克尔·科普萨,加里·切克,杰瑞·瓦塞尔曼,肯·特雷布莱特,克里斯·高瑟,格伦·恩尼斯,罗恩·法斯勒,弗兰克·诺瓦克,杰森斯·乔姆宾,珥杜,John R. Taylor,Chris Weber,麦克·卡朋特,Mi-Jung Lee,Ashley O'Connell,Neil Schell,泰勒·麦克克莱顿,Parm Soor,Chris Burns,迈克尔·史蒂文斯,马诺·苏德,马修·哈里逊,Douglas Chapman,Damon Caro,路易斯·奇里洛,库尔特·埃文斯,海蒂伊罗,罗布·拉贝尔"
精武英雄,"动作,剧情",1994-12-22,125269,8.6,"李连杰,中山忍,钱小豪,蔡少芬,周比利,秦沛,仓田保昭,袁祥仁,楼学贤,高桥利道,谭淑梅,彭子晴,张浚鸿,李文标,林刚,麦咏麟,黄新,卢庆辉,刘思乐,林富伟,李华干,麦克·里德,谷垣健治,江苗定,邓泰和,袁信义"
恶童,"动画,动作,冒险,犯罪",2006-12-23,63747,8.6,"二宫和也,苍井优,伊势谷友介,宫藤官九郎,大森南朋,斯科特·门维尔,亚历山大·鲍狄埃,阿澄佳奈,里克·戈麦斯,田中泯,迈克尔·艾里亚斯,浅井晴美,堀江一真,塞尔日·拉玛,让-弗朗索瓦·加罗,井上麻里奈,里克·高莫兹,西村知道,麦人,纳谷六朗,冈田义德,本木雅弘,本间文子,山口真弓,莫里斯·拉马奇,索菲·卡尔,阿莱克斯·费尔南德斯,弗雷德里克·德班,洛朗·加默隆"
杀死比尔整个血腥事件,"动作,犯罪",2011-03-27,27545,8.6,"乌玛·瑟曼,迈克尔·鲍文,大卫·卡拉丁,千叶真一,朱莉·德赖弗斯,薇薇卡·福克斯,栗山千明,迈克尔·马德森,迈克尔·帕克斯,刘玉玲,达丽尔·汉纳,佩拉·哈莉-贾德林,刘家辉"
钢铁巨人,"喜剧,动作,科幻,动画,冒险",1999-08-06,25139,8.6,"艾力·马伦斯奥,范·迪塞尔,小哈里·康尼克,詹妮弗·安妮斯顿,克里斯托弗·麦克唐纳,詹姆斯·盖蒙,克萝丽丝·利奇曼,约翰·马奥尼,M·埃梅特·沃尔什,鲍伯·伯根,奥利·约翰斯顿,法兰克·汤玛斯,罗德格尔·邦帕斯,雪莉·琳恩,德文·科尔·博里索夫,玛丽·凯·伯格曼,比尔·法玛尔,杰克·安杰尔"
侠女,"剧情,动作,武侠,古装",1970-07-10,24554,8.6,"徐枫,石隽,白鹰,田鹏,曹健,苗天,张冰玉,薛汉,乔宏,林正英,洪金宝,韩英杰,郝履仁,陈会毅,吴明才,万重山,王瑞,高明,山茅,贾鲁石,鲁直,杜伟和,谢仲谋,李逵,刘楚,张允文,徐庆春,成龙"
大菩萨岭,"剧情,动作",1966-02-25,11778,8.6,"仲代达矢,新珠三千代,加山雄三,内藤洋子,中丸忠雄,佐藤庆,西村晃,中谷一郎,田中邦卫,三船敏郎,香川良介,藤原釜足,天本英世,小川安三,川口敦子,大木正司,长谷川弘,头师孝雄,田中浩,高松锦之助,佐佐木孝丸,伊吹彻,久世龙"
红线,"动画,动作,科幻",2009-08-14,9030,8.6,"木村拓哉,苍井优,浅野忠信,青野武,森下能幸,冈田义德,津田宽治"
落叶,"动画,动作,冒险,喜剧,科幻",2004-01-17,6951,8.6,"山口胜平,本田贵子,水谷优子,岩田光央,梁田清之,飞田展男,高木涉,岩崎征实,加濑康之,竹本英史,木内秀信,前田刚,铃木正和,新垣樽助,下崎纮史,中岛裕美子"
死亡的游戏,动作,2001-07-26,4807,8.6,"李小龙,田俊,解元,伊鲁山度,池汉载,卡里姆·阿卜杜尔-贾巴尔,元彪,李炜尚,元华"
船长二世,"剧情,喜剧,动作,爱情,家庭",1928-05-12,3910,8.6,"巴斯特·基顿,汤姆·麦奎尔,欧内斯特·托伦斯,汤姆·刘易斯,玛丽昂·拜伦,乔·基顿,詹姆斯·T·麦克"
滑铁卢战役,"动作,剧情,历史,战争",1970-10-26,2688,8.6,"罗德·斯泰格尔,克里斯托弗·普卢默,奥逊·威尔斯,杰克·霍金斯,弗吉尼亚·麦肯娜,丹·奥赫里奇,鲁珀特·戴维斯,菲利普·福奎特,吉昂尼·嘉科,伊沃·加拉尼,伊恩·奥格尔维,迈克·怀尔登,谢尔科·扎卡里阿泽,特伦斯·亚历山大,安德烈·切齐,敦尔·当纳利,Charles Millot,叶夫根尼·萨莫伊洛夫,奥列格·维多夫,维罗妮卡·德劳伦蒂斯,弗拉基米尔·德鲁日尼科夫,Willoughby Gray,奥尔索·马利亚·奎利尼,Richard Heffer,奥拉齐奥·奥兰多,约翰·萨维登特,根纳季·尤金,罗伯特·里耶蒂,Vaclovas Bledis,阿德里安·布赖恩,保罗·布特克维奇,欧米洛·康帕纳,Pietro Ceccarelli,瓦西里·利瓦诺夫,列夫·波利亚科夫,伊琳娜·斯科布采娃,伊戈尔·亚苏洛维奇"
星际5555：异星梦系统秘传,"动画,动作,冒险,奇幻,音乐,科幻",2003-05-28,1335,8.6,蠢朋克
复仇者联盟4：终局之战,"剧情,动作,科幻,奇幻,冒险",2019-04-24,1011444,8.5,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,克里斯·海姆斯沃斯,乔什·布洛林,保罗·路德,凯伦·吉兰,杰瑞米·雷纳,斯嘉丽·约翰逊,唐·钱德尔,布丽·拉尔森,布莱德利·库珀,泰莎·汤普森,汤姆·赫兰德,伊丽莎白·奥尔森,本尼迪克特·康伯巴奇,蒂尔达·斯文顿,格温妮斯·帕特洛,蕾妮·罗素,约翰·斯拉特里,查德维克·博斯曼,安东尼·麦凯,塞巴斯蒂安·斯坦,克里斯·帕拉特,汤姆·希德勒斯顿,佐伊·索尔达娜,丹娜·奎里拉,本尼迪克特·王,庞·克莱门捷夫,戴夫·巴蒂斯塔,利蒂希娅·赖特,伊万杰琳·莉莉,乔恩·费儒,海莉·阿特维尔,娜塔莉·波特曼,玛丽莎·托梅,塔伊加·维迪提,安吉拉·贝塞特,迈克尔·道格拉斯,米歇尔·菲佛,威廉·赫特,寇碧·史莫德斯,肖恩·古恩,温斯顿·杜克,琳达·卡德里尼,马克斯米利亚诺·赫尔南德斯,弗兰克·格里罗,真田广之,汤姆-沃恩-劳勒,詹姆斯·达西,雅各布·巴特朗,范·迪塞尔,罗伯特·雷德福,塞缪尔·杰克逊,伊薇特·尼科尔·布朗,卡梅伦·布鲁姆布罗,蒂莫西·卡尔,凯瑞·康顿,迈克尔·A·库克,凯莉·库恩,艾玛·福尔曼,雷纳·加拉赫,丹妮拉·加斯基,郑肯,小弗洛伊德·安东尼·约翰,斯坦·李,罗斯·马昆德,布伦特·麦吉,迈克尔·皮耶里诺·米勒,卡兰·马尔韦,泰瑞·诺塔里,吉米·雷·皮肯斯,迈克尔·詹姆斯·肖,泰·辛普金斯,格雷格·蒂芬,艾娃·罗素,乔·罗素,玛丽亚·Z·威尔逊,本杰明·韦弗,劳尔·阿尔坎塔,雅各布·埃文斯,何塞·阿尔弗雷多·费尔南德斯,布伦特·莫雷尔·加斯金斯,安东尼·B·哈里斯,肖恩·麦克米伦,罗伯特·佩恩,麦克斯威尔·海史密斯,罗伯特·廷斯利,费斯·洛根,保罗·皮尔斯伯里,特拉维斯·汤普森,亚历珊德拉‧瑞秋·拉贝,贾迈尔·钱伯斯,杰克逊·艾顿,张闻天,Jennifer Cain,杰克·尚皮永"
蝙蝠侠：侠影之谜,"剧情,动作,科幻,犯罪,惊悚",2005-06-29,367679,8.5,"克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森,凯蒂·霍尔姆斯,加里·奥德曼,基里安·墨菲,汤姆·威尔金森,鲁特格尔·哈尔,渡边谦,小马克·布恩,莱纳斯·罗彻,摩根·弗里曼,拉里·霍尔登,杰拉德·墨菲,柯林·麦克法兰,莎拉·斯图尔特,加斯·刘易斯,理查德·布雷克,拉德·舍博德兹加,艾玛·洛克哈特,克里斯蒂尼·亚当斯,凯瑟琳·波特,约翰·诺兰,杰克·格里森,翁世杰,塔梅尔·哈桑,杰里米·西奥伯德,谢恩·里默,亚历山德拉·巴斯蒂杜,约翰·芬,迪·泰尔斯,卡尔·希尔斯,瑞斯特德·库珀,露西·钱伯斯,迪恩·亚历桑德罗,丹·普尔,乔榛,吉尔·科雷林,大卫·拜德拉,纳迪亚·卡梅隆-布莱克利,马克·史密斯,提姆·布斯,露西·拉塞尔,多米尼克·伯吉斯,阿卜杜尔·波波拉,詹姆斯·恩布里,斯宾塞·怀尔丁,T·J·拉米尼,莫恩博特斯,马克·斯特雷克,埃米尔·马蒂罗西,迈克尔·斯泰利,江锦荣,安德鲁·普利文,蒂莫西·迪尼汉,查尔斯·爱德华兹,大卫·勒格诺,诺亚里马吉茨,马特·米勒,大卫·莫瑞,伊立沙·弗雷丁"
变脸,"动作,科幻,犯罪,惊悚",1997-06-27,362491,8.5,"约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦,亚历桑德罗·尼沃拉,吉娜·格申,多米尼克·斯万,尼克·卡萨维蒂,哈威·普雷斯内尔,科鲁姆·费奥瑞,约翰·卡洛·林奇,希·庞德,罗伯特·维斯多姆,赵牡丹,詹姆斯·丹顿,马特·罗斯,克里斯·鲍尔,迈尔斯·杰弗里,大卫·麦克库利,托马斯·简,汤米·弗拉纳根,达纳·史密斯,罗密·温莎,保罗•希普,柯克·鲍兹,劳伦·辛克莱尔,本·里德,丽莎·博伊尔,琳达·霍夫曼,丹尼·马斯特森,迈克尔·罗查,麦克·韦柏,梅根·保罗,诺姆·卡普顿"
速度与激情5,"动作,犯罪",2011-05-12,347203,8.5,"范·迪塞尔,保罗·沃克,乔丹娜·布鲁斯特,泰瑞斯·吉布森,卢达·克里斯,马特·斯查尔兹,姜成镐,盖尔·加朵,特戈·卡尔德隆,唐·奥马尔,乔昆姆·德·阿尔梅达,道恩·强森,埃尔莎·帕塔奇,迈克尔·埃尔比,费尔南多·钱,阿里米·巴尔拉德,约戈·康斯坦丁,吉奥夫·米德,Joseph Melendez,马克·希克斯,Corey Michael Eubanks,小路易斯·达·席尔瓦,肯特·绍克内克,莎伦泰,埃莱娜·卡多纳,Amanda Salinas,Benjamin Easterday,伊娃·门德斯,杰瑞德·莫泽,米歇尔·罗德里格兹,布赖恩·泰斯特,伊万·J·托雷斯·拉桑塔,陈浩,Reema Sampat,TJ Hassan,Arlene Santana"
神探,"动作,犯罪,悬疑,惊悚",2008-02-22,265659,8.5,"刘青云,安志杰,林家栋,林熙蕾,李国麟,李彩宁,陈慧珊,林雪,张兆辉,刘锦玲,郭少芸,郑保瑞,赵志诚,王璐瑶,张家杰,辛格·哈提汗·比托,李日升,谷祖琳,高雄"
电影名称,类型,上映日期,评价数,评分,主演
角斗士,"剧情,动作,冒险",2000-05-05,206727,8.5,"罗素·克劳,华金·菲尼克斯,康妮·尼尔森,奥列佛·里德,理查德·哈里斯,德里克·雅各比,杰曼·翰苏,大卫·斯科菲尔德,约翰·斯拉普内尔,托马斯·阿拉纳,拉尔夫·莫勒,斯宾塞·崔特·克拉克,戴维·海明斯,汤米·弗拉纳根,史文-欧尔·托尔森,欧米德·吉亚李利,Chris Kell,托尼·库兰,大卫·拜利,艾尔·阿什顿,雷·卡雷贾,詹妮娜·法西奥,乔治·坎塔里尼,阿兰·柯德勒,迈克尔·梅林杰,亚当·利维,吉力·吉尔克里斯特,Kjeld Gogosha-Clark,尼克·梅因,若昂·科斯塔·梅内塞斯,迈克·米切尔,诺曼·坎贝尔·里斯,布瑞恩·斯米吉,童自荣,乔榛,沈晓谦,杰夫·鲁多姆"
黄海,"剧情,动作,犯罪",2010-12-22,200743,8.5,"河正宇,金允石,郑满植,李哲民 ,李艾,徐东锡,杨基元,尹炳熙,千明宰,刘河福,廉东铉,金东贤,白贤宇,全仁杰,崔旭,姜贤重,赵河硕,孙康国,李熙俊,林艺媛,卓成恩,郭度沅,赵在允,方惠英,赵成夏,李瑜美,廉东宪,朴炳垠"
盗火线,"剧情,动作,犯罪,惊悚",1995-12-15,112897,8.5,"阿尔·帕西诺,罗伯特·德尼罗,方·基默,强·沃特,汤姆·塞兹摩尔,戴安·维诺拉,艾米·布伦尼曼,艾什莉·贾德,麦凯尔泰·威廉逊,韦斯·斯塔迪,泰德·拉文,丹尼斯·海斯伯特,威廉·菲克纳,娜塔莉·波特曼,汤姆·诺南,凯文·盖奇,汉克·阿扎利亚,苏珊·特雷勒,丹尼·特雷霍,亨利·罗林斯,杰瑞·特林伯,沈晓谦,吴俊全,山德·贝克利,瑞克·艾弗里,麦克斯·丹尼尔斯,小文斯·迪特里克,马里奥罗伯茨"
王牌对王牌,"动作,犯罪,剧情,悬疑,惊悚",1998-07-29,109543,8.5,"塞缪尔·杰克逊,凯文·史派西,大卫·摩斯,朗·瑞弗金,约翰·斯宾塞,J·T·沃尔什,希博汗·法隆,保罗·吉亚玛提,雷吉娜·泰勒,迈克尔·库立兹,卡洛斯·戈麦斯,蒂姆·科勒赫,迪恩·诺里斯,内斯特·塞拉诺,道格·斯平扎,伦纳德·L·托马斯,斯蒂芬·李,劳里·约翰逊,朗达·多森,杰克·希勒,迈克尔·肖姆斯·维尔斯,乔伊佩里洛,玛丽·佩吉·科勒尔,凯尔森·马尔罗尼,Brad Blaisdell,罗伯特·大卫·豪尔,Mary Ingersoll,麦克纳利·萨加尔,埃德温娜·摩尔,Diann Burns,Robert Baier,James Blackburn,汤姆·鲍尔,Wayne Eric,大卫·福德汉姆,保罗·吉尔福伊尔,Julie O'Malley"
阿基拉,"动作,科幻,动画",1988-07-16,78335,8.5,"岩田光央,佐佐木望,小山茉美,玄田哲章,大竹宏,北村弘一,池水通洋,渊崎由里子,大仓正章,荒川太郎,草尾毅,田中和实,加藤将之,秋元羊介,平野正人,岸野幸正,二又一成,盐屋浩三,小林通孝,梅津秀行,稻垣悟,藤井佳代子,丰岛雅美,铃木瑞穗,石田太郎"
喋血双雄,"动作,犯罪,剧情,惊悚",1989-07-06,77096,8.5,"周润发,李修贤,叶倩文,曾江,朱江,成奎安,黄光亮,黄炳耀,黄柏文,王俊棠,叶荣祖,侯焕玲,卢雄,冯雪瑞,刘允,张济平,吴育枢,吴少雄,尹尚林,麦伟章,黃志明,林富伟,江全,李耀景"
魁拔Ⅲ战神崛起,"动作,动画,奇幻,冒险",2014-10-01,49628,8.5,"刘婧荦,姚姝,王宇腾,杨晨,刘校妤,王凯,敖磊,石困困,宝木中阳,马斑马,杨凝,张杰,范哲琛,图特哈蒙,姜广涛"
精武门,"动作,剧情,爱情,惊悚",1972-03-22,39005,8.5,"李小龙,苗可秀,田丰,元奎,罗维,韩英杰,衣依,田俊,陈龙,陈会毅,魏平澳,吴明才,韩国材,张佩山,黄宗迅,小麒麟,甘山,金天柱,葛萍,元武,李擎柱,黃志明,冯毅,金军,岑潜波,李超俊,张照,桥本力,顾占熊,齐琳,周嘉崇,林正英,元华"
浪客剑心 最终章 追忆篇,"剧情,动作,冒险",2021-06-04,31434,8.5,"佐藤健,有村架纯,高桥一生,北村一辉,江口洋介,村上虹郎,安藤政信,大西信满,池内万作,藤本隆宏,和田聪宏,中村达也,荒木飞羽,洼田正孝,平野生成,堀田真由,一之濑亘,石田法嗣,成田瑛基,奥野瑛太,渡边真起子,武井咲,新田真剑佑,青木崇高,苍井优,伊势谷友介,土屋太凤,三浦涼介,音尾琢真,鹤见辰吾,中原丈雄"
午夜狂奔,"喜剧,动作,犯罪,冒险",1988-07-20,23592,8.5,"罗伯特·德尼罗,查尔斯·格罗丁,亚非特·科托,约翰·阿什顿,丹尼斯·法里纳,乔·潘托里亚诺,理查德·弗让吉,杰克·基欧,菲利普·贝克·霍尔,斯科特·麦克菲,罗伊丝·史密斯,弗兰·布里尔,卢·费尔德,崔西·沃特,波波·马罗夫,汤姆·埃尔文,吉米·雷·威克斯,马丁·布莱斯特,丹尼·沃霍尔,Robert Miranda,Wendy Phillips,Danielle DuClos,Mary Gillis,Thomas J. Hageboeck,Michael Hawkins,John Hammil,Paul Joseph McKenna,Jack N. Young,James Portolese,Armando Muniz,Terry Ray,约翰·阿什顿"
敲开天堂的门,"动作,犯罪,喜剧,剧情",1997-02-20,14747,8.5,"蒂尔·施威格,扬·约瑟夫·利费斯,蒂埃里·范·维凡客,莫里兹·布雷多,休伯·史塔普,伦纳德·兰辛,Ralph Herforth,科奈莉亚·弗洛波伊斯,鲁特格尔·哈尔,Willi Thomczyk,克里斯蒂安娜·保罗,汉恩斯·詹尼可,珍妮·爱娃-艾瓦仓庚,科琳娜·哈弗奇,瓦伦丁·施威格"
蝙蝠侠：红影迷踪,"动作,动画,犯罪,惊悚",2010-07-27,13624,8.5,"布鲁斯·格林伍德,尼尔·帕特里克·哈里斯,詹森·阿克斯,约翰·迪·马吉欧,Alexander Martella,韦德·威廉姆斯,文森特·马特拉,詹森·艾萨克,吉姆·皮多克"
最长的一天,"动作,剧情,历史,战争",1962-10-04,11930,8.5,"理查德·伯顿,肖恩·康纳利,亨利·方达,约翰·韦恩,莱德·巴顿斯,沃尔夫冈·巴特纳,汤米·桑兹,罗伯特·瑞安,诺曼·罗辛顿,沃尔夫冈·普莱斯,莱斯利·菲利普斯,艾德蒙·奥布莱恩,肯尼思·莫尔,罗伯特·米彻姆,乔治·席格,罗德·斯泰格尔,理查德·托德,约翰·格雷格森,汉斯·克里斯蒂安·布勒希,迈克尔·梅德温,萨尔·米涅奥,斯图尔特·惠特曼,罗伯特·瓦格纳,彼得·范·埃克,汤姆·特莱昂,罗迪·麦克道尔,杜威·马丁,理查德·贝梅尔,让-路易斯·巴劳特,阿莱蒂,保罗·安卡,埃迪·艾伯特,布尔维尔,雷·丹顿,伊琳娜·德米克,彼特·劳福德,库尔德·于尔根斯,杰弗里·亨特,唐纳德·休斯敦,里奥·吉恩,杰特·弗罗比,史蒂夫·弗罗斯特,梅尔·费勒,法比安"
飞出个未来大电影2：万背之兽,"动画,动作,喜剧,爱情,科幻",2008-06-24,3445,8.5,"凯特蕾·萨加尔,劳伦·汤姆,比利·维斯特,莫里斯·拉马奇,史蒂芬·霍金,特蕾丝·麦克尼尔,菲尔·拉马,大卫·克罗斯,约翰·迪·马吉欧,布莱特妮·墨菲,大卫·赫尔曼,丹·卡斯泰兰尼塔"
通往自由的通道,"动作,剧情,历史,惊悚",2001-01-21,3437,8.5,"海诺·费尔希,尼科莱特·克雷比茨,塞巴斯蒂安·科赫,亚历山德拉·玛丽亚·拉娜,克劳迪亚·米歇尔森,菲力克斯·伊特纳,穆罕默德·库尔图卢斯"
笔中情,"剧情,动作,爱情,古装",1982,2893,8.5,"朱碧云,叶高,张闽,赵静,王伯昭,牛犇,史原,迟重瑞,丁嘉元,高维明,程之"
