电影名称,类型,上映日期,评价数,评分,主演
指环王1：护戒使者,"剧情,动作,奇幻,冒险",2002-04-04,780237,9.1,"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,维果·莫腾森,奥兰多·布鲁姆,多米尼克·莫纳汉,比利·博伊德,克里斯托弗·李,马尔顿·索克斯,梅根·爱德华兹,伊安·霍姆,凯特·布兰切特,阿兰·霍华德,马克·弗格森,肖恩·宾,萨拉·贝克,劳伦斯·马克奥雷,安迪·瑟金斯,彼得·麦肯齐,伊恩·穆内,克雷格·帕克,卡梅隆·罗德,约翰·瑞斯-戴维斯,丽芙·泰勒,大卫·韦瑟莱,雨果·维文,菲利普·格里夫,威廉·约翰逊,伊丽莎白·穆迪,布莱恩·瑟金特,杰德·布罗菲,诺曼·凯茨,兰德尔·威廉·库克,萨比恩·克洛森,西奥沙福瓦,本·弗兰舍姆,彼得·杰克逊,艾伦·李,诺埃尔·阿普利比,Michael Elsworth,Sarah McLeod,马丁·桑德森,Harry Sinclair,吉诺·阿赛维多,Jarl Benzon,Jørn Benzon,Ben Britton,Jonathan Harding,Taea Hartwell,Sam Kelly,姜广涛,张磊,周志强,布雷特·麦肯齐"
黑客帝国,"动作,科幻",2000-01-14,776827,9.1,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,雨果·维文,格洛丽亚·福斯特,乔·潘托里亚诺,马库斯·钟,朱利安·阿拉汗加,马特·多兰,贝琳达·麦克洛里,安东尼雷派克,罗伯特·泰勒,阿达·尼科德莫,罗温·维特,塔玛拉·布朗,纳塔莉·特珍,比尔·扬,克里斯·斯科特,纳许·埃哲顿,户田惠子,沈晓谦,童自荣,保罗·戈达德,金永钢,张磊"
攻壳机动队,"动作,科幻,动画",1995-11-18,126278,9.1,"田中敦子,大塚明夫,山寺宏一,大木民夫,家弓家正,玄田哲章,山内雅人,小川真司,宫本充,小高三良,后藤敦,山路和弘,佐藤政道,Lia Sargent,布莱恩·科兰斯顿,松山鹰志"
将军号,"剧情,喜剧,动作,战争,冒险",1926-12-25,25312,9.1,"巴斯特·基顿,玛丽昂·马克,格伦·卡文德,吉姆·法利,弗雷德里克·弗鲁姆,查尔斯·亨利·史密斯,弗兰克·巴恩斯,乔·基顿,麦克·多林,汤姆·纳恩,安东尼·哈维"
丝路花雨,"动作,古装,音乐,歌舞",1982,1974,9.1,"贺燕云,张宏,李为民,史敏"
赛文奥特曼 光荣与传说,"剧情,动作,科幻",1999-07-07,1144,9.1,"南条弘二,山崎胜之,鹈川薰,足立理绘子,佐原健二,森次晃嗣"
搏击俱乐部,"剧情,动作,悬疑,惊悚",1999-09-10,784996,9.0,"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,扎克·格雷尼尔,米特·洛夫,杰瑞德·莱托,艾恩·贝利,里奇蒙德·阿奎特,乔治·马奎尔,Ezra Buzzington,Carl Ciarfalio,斯图尔特·布拉姆博格,马特·温斯顿,劳伦·桑切斯,Tyrone R. Livingston,保罗·卡拉夫特斯,Scotch Ellis Loring,Andi Carnick,迈克尔·肖姆斯·维尔斯,Markus Redmond,大卫·安德鲁斯,鲍勃·斯蒂芬森,欧根妮·邦杜兰特,凯文·斯科特·麦克,Bennie Moore,埃文·米兰德,乔伊·比索奈特,Christina Cabot,大卫·李·史密斯,霍特·麦克卡兰尼"
用心棒,"剧情,动作,惊悚",1961-04-25,44169,9.0,"三船敏郎,仲代达矢,司叶子,山田五十铃,加东大介,河津清三郎,志村乔,太刀川宽,夏木阳介,东野英治郎,藤原釜足,泽村伊纪雄,渡边笃,藤田进,山茶花究,西村晃,加藤武,中谷一郎,堺左千夫,谷晃,土屋嘉男,清水元,佐田丰,大友伸,广濑正一,天本英世,大木正司,大村千吉,本间文子,桐野洋雄,大友纯,高木新平,小川安三,熊谷卓三,杰瑞·藤尾,中岛春雄"
让子弹飞,"剧情,喜剧,动作,西部",2010-12-16,1548153,8.9,"姜文,葛优,周润发,刘嘉玲,陈坤,张默,姜武,周韵,廖凡,姚橹,邵兵,苗圃,冯小刚,胡军,马珂,白冰,杜奕衡,李静,胡明,危笑,杨奇雨,赵铭,宣晓鸣,绀野千春,郭俊立,马元,姜洪齐,岳红,吴昔果,沙瑀,陈磊,文祥"
V字仇杀队,"剧情,动作,科幻,惊悚",2005-12-11,769677,8.9,"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞,斯蒂芬·弗雷,约翰·赫特,蒂姆·皮戈特-史密斯,鲁珀特·格雷夫斯,罗杰·阿拉姆,本·迈尔斯,西妮德·库萨克,娜塔莎·怀特曼,约翰·斯坦丁,埃迪·马森,克里夫·阿什伯恩,Emma Field-Rayner,伊安·布尔费尔德,马克·菲尼克斯,Alister Mazzotti,比莉·库克,盖伊·亨利,科斯马·肖,Megan Gay,Roderic Culver,Tara Hacking,安迪·莱什利兹,查德·斯塔赫斯基,布拉德利·斯蒂夫·福特,马德琳·拉基克-普拉特,塞丽娜·贾尔斯,卡斯腾·海斯,伊莫琴·普茨,劳拉·格林伍德,Kyra Meyer,玛丽·萧克莱 ,理查德·莱恩,Michael Simkins,大卫·雷奇,马尔科姆·辛克莱,马迪斯·兰德维尔,Simon Newby,保罗·安东尼·巴伯"
